Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
245,Siddharth Chitnis,11,2,6,60,2,Feb-40,30,10,18,0,0
246,Shoaib Malik,7,5,8.3,85,2,01-Jun,42.5,10,25.5,0,0
247,MA Khote,4,2,5,51,2,Feb-29,25.5,10.2,15,0,0
248,Luke Wright,7,6,11.5,124,2,01-Dec,62,10.47,35.5,0,0
249,D Kalyankrishna,3,3,8,87,2,Jan-30,43.5,10.87,24,0,0
250,Amit Uniyal,2,2,6,66,2,Feb-41,33,11,18,0,0
251,Kyle Abbott,5,5,16,177,2,Jan-38,88.5,11.06,48,0,0
252,Adam Gilchrist,80,1,0.1,0,1,1/0,0,0,1,0,0
253,Mohammad Hafeez,8,2,5,24,1,01-Aug,24,4.8,30,0,0
254,Ajinkya Rahane,95,1,1,5,1,0,5,5,6,0,0
255,LA Carseldine,5,1,1,6,1,0,6,6,6,0,0
256,SS Mundhe,1,1,1,6,1,01-Jun,6,6,6,0,0
257,Hanuma Vihari,22,5,6,38,1,01-May,38,6.33,36,0,0
258,T Henderson,2,2,6,40,1,Jan-30,40,6.66,36,0,0
259,GR Napier,1,1,4,27,1,Jan-27,27,6.75,24,0,0
260,Jeevan Mendis,3,2,5,36,1,Jan-16,36,7.2,30,0,0
261,Mandeep Singh,59,1,3,23,1,0,23,7.66,18,0,0
262,PM Sarvesh Kumar,2,2,5,42,1,Jan-18,42,8.4,30,0,0
263,Harmeet Singh,1,1,4,34,1,Jan-34,34,8.5,24,0,0
264,Clint McKay,2,2,7,60,1,Jan-36,60,8.57,42,0,0
265,SB Joshi,4,4,9.1,82,1,Jan-27,82,8.94,55,0,0
266,Abhishek Jhunjhunwala,21,10,14.1,129,1,Jan-13,129,9.1,85,0,0
267,Dwaraka Ravi Teja,32,2,3,28,1,0,28,9.33,18,0,0
268,Aaron Finch,52,5,7.1,67,1,01-Nov,67,9.34,43,0,0
269,Dinesh Salunkhe,6,5,7.5,78,1,Jan-21,78,9.95,47,0,0
270,Ashley Noffke,1,1,4,40,1,Jan-40,40,10,24,0,0
271,Jimmy Neesham,4,4,9,91,1,Jan-29,91,10.11,54,0,0
272,Ronit More,2,2,5.5,59,1,Jan-31,59,10.11,35,0,0
273,Ben Laughlin,2,2,7,71,1,Jan-25,71,10.14,42,0,0
274,Gurinder Sandhu,3,2,8,82,1,Jan-33,82,10.25,48,0,0
275,Andre Nel,1,1,3,31,1,Jan-31,31,10.33,18,0,0
276,Akshath Reddy,12,1,3,32,1,0,32,10.66,18,0,0
277,Adam Milne,1,1,4,43,1,Jan-43,43,10.75,24,0,0
278,S Vidyut,9,1,2,22,1,0,22,11,12,0,0
279,Lendl Simmons,22,1,3,34,1,0,34,11.33,18,0,0
280,Brett Geeves,2,2,8,91,1,Jan-50,91,11.37,48,0,0
281,TP Sudhindra,3,3,11.4,136,1,Jan-46,136,11.65,70,0,0
282,Manoj Tiwary,78,5,6,73,1,0,73,12.16,36,0,0
283,Cameron White,47,6,7,86,1,Jan-14,86,12.28,42,0,0
284,Shardul Thakur,1,1,3,38,1,Jan-38,38,12.66,18,0,0
285,Nitish Rana,4,1,1,3,0,0,0,3,0,0,0
286,Mithun Manhas,55,3,7,42,0,0,0,6,0,0,0
287,Nathan Rimmington,1,1,3,19,0,0,0,6.33,0,0,0
288,Sachin Rana,11,3,2.4,18,0,0,0,6.75,0,0,0
289,Nathan McCullum,2,2,5,34,0,0,0,6.8,0,0,0
290,Kane Williamson,8,1,1,7,0,0,0,7,0,0,0
291,Y Gnaneswara Rao,2,1,1,7,0,0,0,7,0,0,0
292,Ambati Rayudu,109,1,3,22,0,0,0,7.33,0,0,0
293,Colin Munro,4,2,2,15,0,0,0,7.5,0,0,0
294,RS Gavaskar,2,1,1,8,0,0,0,8,0,0,0
295,Suryakumar Yadav,45,1,1,8,0,0,0,8,0,0,0
296,Abhishek Raut,22,6,7,57,0,0,0,8.14,0,0,0
297,Murali Vijay,100,4,6,49,0,0,0,8.16,0,0,0
298,Deepak Chahar,2,2,5,41,0,0,0,8.2,0,0,0
299,Adam Voges,9,7,9,76,0,0,0,8.44,0,0,0
300,K Goel,22,6,11,93,0,0,0,8.45,0,0,0
301,Daniel Harris,4,2,3,26,0,0,0,8.66,0,0,0
302,Krishnakant Upadhyay,3,3,9,81,0,0,0,9,0,0,0
303,Swapnil Singh,1,1,3,29,0,0,0,9.66,0,0,0
304,Sachin Tendulkar,78,4,6,58,0,0,0,9.66,0,0,0
305,Asad Pathan,8,3,6.3,63,0,0,0,9.69,0,0,0
306,Faiz Fazal,12,2,2,20,0,0,0,10,0,0,0
